Batch_ID,Product_ID,Manufacture_Date,Label_Expiry_Date,Delivered_Date,Lead_Time_Days,Country,Shipment_Mode,Manufacturing_Site,Quantity,Weight_kg,Freight_Cost_USD
BATCH-00053,ARV-002,2025-04-24,2027-04-24,2025-06-08,11,Haiti,Air,"Aurobindo Unit III, India",3035,1133.0,7789.85
BATCH-00054,HRDT-004,2025-10-21,2027-10-21,2025-12-11,12,Nigeria,Air,Chembio Diagnostics Sys. Inc.,3401,972.0,6418.11
BATCH-00055,HRDT-001,2026-01-20,2028-01-20,2026-03-04,13,Burundi,Air,"Alere Medical Co., Ltd.",675,278.0,5626.76
BATCH-00056,ARV-001,2025-03-07,2027-03-07,2025-03-25,5,Zambia,Air,"Aurobindo Unit III, India",900,109.0,919.66
BATCH-00057,ARV-003,2026-01-12,2028-01-12,2026-03-27,20,Mozambique,Truck,Hetero Unit III Hyderabad IN,210000,81836.0,47171.27
BATCH-00058,ARV-009,2025-06-26,2027-06-26,2025-08-19,7,Côte d'Ivoire,Air,Mylan (formerly Matrix) Nashik,2200,6587.0,8953.2
BATCH-00059,ARV-001,2025-05-16,2027-05-16,2025-07-31,17,Guyana,Air,"Aurobindo Unit III, India",3604,499.0,5783.6
BATCH-00060,ARV-006,2025-11-24,2027-11-24,2026-02-07,23,Rwanda,Truck,"Aurobindo Unit III, India",5495,1960.0,4390.98
BATCH-00061,ARV-002,2025-07-31,2027-07-31,2025-09-10,20,Haiti,Air,"Aurobindo Unit III, India",1000,830.0,6555.75
BATCH-00062,HRDT-003,2025-01-31,2027-01-31,2025-03-07,17,Côte d'Ivoire,Air,Inverness Japan,595,200.0,1642.0
BATCH-00063,ARV-003,2026-02-03,2028-02-03,2026-03-08,15,Côte d'Ivoire,Truck,"Strides, Bangalore, India.",75235,9080.0,34551.83
BATCH-00064,HRDT-002,2025-08-20,2027-08-20,2025-11-04,21,Sudan,Air,"Trinity Biotech, Plc",10,4.0,593.8
BATCH-00065,HRDT-001,2025-11-08,2027-11-08,2025-12-24,11,Tanzania,Air,"Alere Medical Co., Ltd.",1568,678.0,12950.74
BATCH-00066,ARV-002,2025-07-21,2027-07-21,2025-08-29,10,Uganda,Air,Hetero Unit III Hyderabad IN,3690,214.0,5166.39
BATCH-00067,ARV-009,2025-01-02,2027-01-02,2025-03-21,20,Vietnam,Air,Gilead(Nycomed) Oranienburg DE,1000,76.0,2282.57
BATCH-00068,ARV-003,2025-06-30,2027-06-30,2025-08-13,6,Nigeria,Air Charter,"Aurobindo Unit III, India",15000,1972.0,6147.18
BATCH-00069,ARV-015,2025-07-27,2027-07-27,2025-09-23,3,Nigeria,Air Charter,Mylan (formerly Matrix) Nashik,60756,5481.0,12601.07
BATCH-00070,ARV-008,2025-06-18,2027-06-18,2025-08-28,12,Côte d'Ivoire,Air,"Aurobindo Unit III, India",588,215.0,6406.54
BATCH-00071,HRDT-012,2025-01-07,2027-01-07,2025-02-03,18,Nigeria,Air,Bio-Rad Laboratories,375,402.0,4445.75
BATCH-00072,ARV-004,2025-09-16,2027-09-16,2025-10-14,4,Nigeria,Air Charter,Mylan (formerly Matrix) Nashik,3446,6622.0,18495.9
BATCH-00073,ARV-019,2025-05-22,2027-05-22,2025-07-18,12,Rwanda,Air,ABBVIE (Abbott) Logis. UK,120,298.0,2204.08
BATCH-00074,ARV-004,2026-02-09,2028-02-09,2026-04-09,10,Rwanda,Truck,"Cipla, Goa, India",1766,152.0,1330.99
BATCH-00075,ARV-019,2025-03-03,2027-03-03,2025-04-01,16,Mozambique,Air,ABBVIE (Abbott) Logis. UK,630,185.0,1214.2
BATCH-00076,ARV-009,2025-12-07,2027-12-07,2026-01-11,13,Vietnam,Air,Hetero Unit III Hyderabad IN,34640,2804.0,9759.55
BATCH-00077,ARV-021,2025-07-29,2027-07-29,2025-09-12,10,Guatemala,Air,Roche Madrid,188,33.0,660.3
BATCH-00078,ARV-005,2025-12-10,2027-12-10,2026-02-08,12,Côte d'Ivoire,Truck,ABBVIE Ludwigshafen Germany,15119,7541.0,27875.36
BATCH-00079,ARV-001,2025-07-17,2027-07-17,2025-08-11,14,South Africa,Air,"Aurobindo Unit III, India",25190,2131.0,5886.9
BATCH-00080,ARV-004,2026-01-08,2028-01-08,2026-03-03,16,Uganda,Air,"Cipla, Goa, India",7445,574.0,3868.24
BATCH-00081,ARV-003,2026-02-28,2028-02-28,2026-04-10,20,Namibia,Air,"Hetero, Jadcherla, unit 5, IN",33516,4237.0,6786.64
BATCH-00082,ARV-020,2026-02-22,2028-02-22,2026-03-22,12,Rwanda,Air,Mylan (formerly Matrix) Nashik,18000,2402.0,1832.54
BATCH-00083,HRDT-001,2026-01-07,2028-01-07,2026-02-16,7,Nigeria,Air,"Alere Medical Co., Ltd.",9308,3778.0,59767.71
BATCH-00084,ARV-003,2025-12-14,2027-12-14,2026-01-29,19,Uganda,Air,Mylan (formerly Matrix) Nashik,60678,8402.0,28304.85
BATCH-00085,HRDT-013,2025-07-09,2027-07-09,2025-09-01,15,Rwanda,Air,"Standard Diagnostics, Korea",1700,570.0,9054.08
BATCH-00086,ARV-006,2026-01-07,2028-01-07,2026-02-14,16,Guyana,Air,"Aurobindo Unit III, India",81,32.0,728.3
BATCH-00087,ARV-009,2025-03-02,2027-03-02,2025-04-27,6,Vietnam,Air,Mylan (formerly Matrix) Nashik,5040,301.0,4883.46
BATCH-00088,HRDT-002,2025-02-11,2027-02-11,2025-03-06,14,Angola,Truck,"Trinity Biotech, Plc",150,54.0,952.04
BATCH-00089,ARV-009,2025-06-12,2027-06-12,2025-08-21,18,South Africa,Air,"Cipla, Goa, India",83238,5663.0,5298.02
BATCH-00090,ARV-019,2026-03-02,2028-03-01,2026-03-27,19,Rwanda,Air,ABBVIE Ludwigshafen Germany,3500,442.0,6776.8
BATCH-00091,ARV-010,2025-11-08,2027-11-08,2026-01-09,17,Zimbabwe,Truck,Hetero Unit III Hyderabad IN,29506,3133.0,14451.69
BATCH-00092,ARV-012,2025-04-29,2027-04-29,2025-06-10,18,Mozambique,Air,"Cipla, Goa, India",47392,7113.0,3599.76
BATCH-00093,ARV-004,2025-05-13,2027-05-13,2025-06-27,19,Haiti,Air,"Aurobindo Unit III, India",59952,6967.0,75688.58
BATCH-00094,HRDT-005,2025-09-29,2027-09-29,2025-10-16,11,Tanzania,Air,"Standard Diagnostics, Korea",10000,3334.0,22523.12
BATCH-00095,ARV-007,2025-08-16,2027-08-16,2025-10-26,28,Mozambique,Truck,"Aurobindo Unit III, India",2350,904.0,573.43
BATCH-00096,ARV-003,2026-04-13,2028-04-12,2026-05-10,13,Uganda,Truck,Mylan (formerly Matrix) Nashik,18000,2253.0,3785.72
BATCH-00097,ARV-010,2025-10-26,2027-10-26,2025-12-18,12,Uganda,Truck,Hetero Unit III Hyderabad IN,26432,5212.0,24772.95
BATCH-00098,ARV-006,2025-05-02,2027-05-02,2025-07-01,16,Zambia,Air,"Aurobindo Unit III, India",16539,796.0,4234.42
BATCH-00099,ARV-004,2025-05-01,2027-05-01,2025-07-06,15,Vietnam,Air,"Aurobindo Unit III, India",6384,579.0,3119.75
BATCH-00100,ARV-020,2026-01-22,2028-01-22,2026-03-13,7,Tanzania,Air,Mylan (formerly Matrix) Nashik,10565,1412.0,6758.01
BATCH-00101,ARV-002,2025-06-01,2027-06-01,2025-07-18,26,Zambia,Truck,"Aurobindo Unit III, India",20000,1946.0,3379.64
BATCH-00102,ARV-004,2025-04-30,2027-04-30,2025-06-22,8,Rwanda,Air,Mylan (formerly Matrix) Nashik,38736,3080.0,33235.44
BATCH-00103,ARV-006,2025-06-01,2027-06-01,2025-08-08,18,South Africa,Air,"Strides, Bangalore, India.",333334,16496.0,25285.11
BATCH-00104,ARV-013,2025-02-17,2027-02-17,2025-03-16,5,Côte d'Ivoire,Air,"Aurobindo Unit III, India",6200,354.0,4147.9
BATCH-00105,HRDT-004,2025-12-15,2027-12-15,2026-01-13,18,Nigeria,Air,Chembio Diagnostics Sys. Inc.,3401,972.0,10191.28
BATCH-00106,ARV-004,2024-12-26,2026-12-26,2025-03-14,25,Zimbabwe,Truck,"Aurobindo Unit III, India",1560,147.0,1671.84
BATCH-00107,ARV-002,2025-08-29,2027-08-29,2025-10-06,25,Zambia,Truck,"Aurobindo Unit III, India",20000,7469.0,3949.19
BATCH-00108,ARV-008,2025-08-31,2027-08-31,2025-10-23,16,Rwanda,Air,"Aurobindo Unit III, India",580,214.0,2057.2
BATCH-00109,ARV-004,2025-01-02,2027-01-02,2025-02-01,13,Vietnam,Air,"Cipla, Goa, India",25100,2575.0,18772.94
BATCH-00110,ARV-003,2025-08-12,2027-08-12,2025-09-15,23,Uganda,Truck,"Aurobindo Unit III, India",117367,17496.0,104604.06
BATCH-00111,ARV-005,2026-03-09,2028-03-08,2026-05-04,9,Zambia,Air,ABBVIE (Abbott) Logis. UK,2265,2272.0,14603.71
BATCH-00112,ARV-015,2025-06-05,2027-06-05,2025-06-27,10,Nigeria,Air Charter,Mylan (formerly Matrix) Nashik,240,22.0,9341.49
BATCH-00113,ARV-005,2025-05-20,2027-05-20,2025-07-14,14,Côte d'Ivoire,Air,ABBVIE Ludwigshafen Germany,6000,1523.0,10051.89
BATCH-00114,ARV-001,2025-11-23,2027-11-23,2026-01-12,7,Nigeria,Air Charter,"Strides, Bangalore, India.",848,73.0,14547.55
BATCH-00115,ARV-001,2026-02-23,2028-02-23,2026-03-16,13,Ghana,Air,"Aurobindo Unit III, India",14802,951.0,7326.62
BATCH-00116,ARV-010,2026-02-13,2028-02-13,2026-03-19,20,Zambia,Truck,"Aurobindo Unit VII, IN",29440,2438.0,5236.92
BATCH-00117,HRDT-002,2025-12-11,2027-12-11,2026-02-02,5,South Sudan,Air,"Trinity Biotech, Plc",450,165.0,2329.14
BATCH-00118,HRDT-006,2026-02-06,2028-02-06,2026-03-17,7,Rwanda,Air,"KHB Test Kit Facility, Shanghai China",4230,2820.0,37130.88
BATCH-00119,ARV-012,2025-05-03,2027-05-03,2025-05-23,9,Ethiopia,Air,"Strides, Bangalore, India.",41922,3190.0,14732.36
BATCH-00120,ARV-013,2025-04-08,2027-04-08,2025-06-12,6,Vietnam,Air,"Aurobindo Unit III, India",15960,1815.0,9931.49
BATCH-00121,ARV-016,2025-09-01,2027-09-01,2025-10-07,17,Zimbabwe,Truck,"Cipla, Goa, India",4669,357.0,2143.49
BATCH-00122,ARV-014,2025-07-31,2027-07-31,2025-08-21,16,Haiti,Air,"Aurobindo Unit III, India",192,8085.0,78061.3
BATCH-00123,HRDT-001,2025-03-10,2027-03-10,2025-05-20,16,Mozambique,Air,ABBVIE GmbH & Co.KG Wiesbaden,1000,337.0,3499.18
BATCH-00124,HRDT-001,2026-01-23,2028-01-23,2026-02-10,13,Nigeria,Air,"Alere Medical Co., Ltd.",3053,1240.0,20705.23
BATCH-00125,ARV-007,2025-11-29,2027-11-29,2026-01-22,19,Guyana,Air,"Aurobindo Unit III, India",118,16.0,693.16
BATCH-00126,HRDT-002,2025-03-30,2027-03-30,2025-06-11,14,Guyana,Air,"Trinity Biotech, Plc",1371,468.0,5733.61
BATCH-00127,ARV-006,2025-05-13,2027-05-13,2025-06-24,6,Ethiopia,Air,"Aurobindo Unit III, India",4234,212.0,1489.4
BATCH-00128,ARV-001,2025-06-13,2027-06-13,2025-07-30,10,Nigeria,Air Charter,"Aurobindo Unit III, India",14600,1288.0,9736.1
BATCH-00129,ARV-001,2025-06-21,2027-06-21,2025-07-31,14,Rwanda,Air,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",31,4.0,889.55
BATCH-00130,HRDT-001,2025-10-04,2027-10-04,2025-10-30,15,Sudan,Air,"Alere Medical Co., Ltd.",22,11.0,978.41
BATCH-00131,ARV-014,2025-12-04,2027-12-04,2026-01-23,14,Zimbabwe,Air,Bristol-Myers Squibb Anagni IT,703,162.0,2365.05
BATCH-00132,HRDT-004,2025-11-12,2027-11-12,2026-01-19,14,Nigeria,Air,Chembio Diagnostics Sys. Inc.,4848,1784.0,8248.33
BATCH-00133,HRDT-002,2025-06-10,2027-06-10,2025-06-26,6,Kenya,Air,"Trinity Biotech, Plc",2000,682.0,7258.89
BATCH-00134,ARV-010,2025-12-04,2027-12-04,2026-02-09,14,Uganda,Air,"Cipla, Kurkumbh, India",16716,1874.0,7487.81
BATCH-00135,ARV-001,2025-06-24,2027-06-24,2025-09-12,53,Rwanda,Ocean,Hetero Unit III Hyderabad IN,38113,3077.0,6499.25
BATCH-00136,HRDT-002,2025-08-07,2027-08-07,2025-09-20,10,Sudan,Air,"Trinity Biotech, Plc",132,50.0,1595.38
BATCH-00137,ARV-002,2025-09-17,2027-09-17,2025-10-16,15,Haiti,Air,"Aurobindo Unit III, India",1292,483.0,5324.69
BATCH-00138,ARV-002,2025-06-27,2027-06-27,2025-08-31,26,South Africa,Ocean,"Strides, Bangalore, India.",237500,15475.0,14682.98
BATCH-00139,HRDT-008,2025-01-23,2027-01-23,2025-02-17,10,Côte d'Ivoire,Air,"Pacific Biotech, Thailand",50,120.0,3004.62
BATCH-00140,ARV-012,2025-09-19,2027-09-19,2025-10-26,17,Zimbabwe,Truck,"Cipla, Goa, India",75507,8578.0,5216.63
BATCH-00141,ARV-003,2025-06-10,2027-06-10,2025-08-14,21,Vietnam,Air,"Aurobindo Unit III, India",20500,2904.0,14223.39
BATCH-00142,ARV-008,2025-04-02,2027-04-02,2025-04-17,8,Vietnam,Air,"Aurobindo Unit III, India",500,124.0,5217.59
BATCH-00143,ARV-007,2025-03-29,2027-03-29,2025-05-06,9,Zambia,Air,"Aurobindo Unit III, India",1800,671.0,5110.76
BATCH-00144,ARV-007,2026-02-04,2028-02-04,2026-03-29,16,Côte d'Ivoire,Truck,"Aurobindo Unit III, India",156,100.0,396.32
BATCH-00145,ARV-010,2026-02-24,2028-02-24,2026-03-29,21,Ghana,Air,Hetero Unit III Hyderabad IN,17447,1825.0,10790.63
BATCH-00146,ARV-001,2025-02-13,2027-02-13,2025-03-25,19,Côte d'Ivoire,Air,"Aurobindo Unit III, India",24561,7191.0,12349.51
BATCH-00147,ARV-001,2025-03-24,2027-03-24,2025-04-21,5,Haiti,Air,"MSD, Haarlem, NL",150,702.0,8762.02
BATCH-00148,ARV-001,2026-02-13,2028-02-13,2026-04-07,12,Mozambique,Truck,"Cipla, Goa, India",30860,19965.0,14767.58
BATCH-00149,ARV-004,2025-09-25,2027-09-25,2025-12-18,26,Zimbabwe,Truck,Mylan (formerly Matrix) Nashik,26267,1875.0,6933.75
BATCH-00150,ARV-002,2025-11-22,2027-11-22,2026-01-14,3,Nigeria,Air Charter,"Cipla, Goa, India",95000,12686.0,41332.14
BATCH-00151,ARV-014,2025-06-14,2027-06-14,2025-07-18,19,Haiti,Air,"Aurobindo Unit III, India",192,40.0,12016.69
BATCH-00152,HRDT-002,2025-05-08,2027-05-08,2025-05-22,9,Tanzania,Air,"Trinity Biotech, Plc",1678,554.0,4810.99
BATCH-00153,ARV-010,2026-01-05,2028-01-05,2026-03-11,58,Haiti,Ocean,"Cipla, Kurkumbh, India",4176,426.0,2251.94
BATCH-00154,ARV-009,2026-03-30,2028-03-29,2026-05-15,9,Vietnam,Air,Hetero Unit III Hyderabad IN,17300,1320.0,2730.91
BATCH-00155,ARV-007,2026-02-04,2028-02-04,2026-03-01,12,Tanzania,Air,"Aurobindo Unit III, India",20172,1104.0,5765.11
BATCH-00156,ARV-001,2025-06-17,2027-06-17,2025-07-20,16,Uganda,Air,"Aurobindo Unit III, India",5000,456.0,5186.68
BATCH-00157,ARV-002,2025-04-04,2027-04-04,2025-06-01,7,Nigeria,Air,"Aurobindo Unit III, India",248,24.0,1547.94
BATCH-00158,ARV-010,2025-12-26,2027-12-26,2026-03-03,14,South Sudan,Air,"Aurobindo Unit VII, IN",1447,592.0,6169.0
BATCH-00159,HRDT-002,2025-06-25,2027-06-25,2025-08-28,13,Zambia,Air,"Trinity Biotech, Plc",7000,2304.0,33525.96
BATCH-00160,HRDT-002,2025-10-14,2027-10-14,2025-11-19,18,South Sudan,Air,"Trinity Biotech, Plc",179,63.0,2147.11
BATCH-00161,HRDT-001,2026-01-27,2028-01-27,2026-03-28,21,Nigeria,Air,"Alere Medical Co., Ltd.",5903,3473.0,35117.35
BATCH-00162,ARV-014,2025-01-31,2027-01-31,2025-03-26,16,Tanzania,Air,"Aurobindo Unit III, India",2273,2749.0,10654.94
BATCH-00163,HRDT-001,2025-12-16,2027-12-16,2026-01-11,11,Côte d'Ivoire,Air,"Alere Medical Co., Ltd.",2104,917.0,16661.34
BATCH-00164,HRDT-002,2025-03-21,2027-03-21,2025-05-06,11,Botswana,Air,"Trinity Biotech, Plc",5,3.0,1225.17
BATCH-00165,ARV-008,2025-09-16,2027-09-16,2025-11-05,17,Zambia,Truck,Mylan (formerly Matrix) Nashik,27452,3898.0,11292.05
BATCH-00166,HRDT-006,2025-10-09,2027-10-09,2025-11-22,18,Burundi,Air,"KHB Test Kit Facility, Shanghai China",23,21.0,1327.6
BATCH-00167,ARV-009,2025-04-09,2027-04-09,2025-06-04,10,Swaziland,Air,Mylan (formerly Matrix) Nashik,1250,1787.0,12798.04
BATCH-00168,ARV-001,2025-08-05,2027-08-05,2025-10-17,31,South Africa,Ocean,Hetero Unit III Hyderabad IN,92500,7778.0,20684.73
BATCH-00169,ARV-010,2025-12-19,2027-12-19,2026-02-06,15,Zimbabwe,Truck,Hetero Unit III Hyderabad IN,131520,2277.0,12000.0
BATCH-00170,HRDT-001,2026-03-09,2028-03-08,2026-04-27,5,Zambia,Air,"Alere Medical Co., Ltd.",1364,553.0,7845.09
BATCH-00171,ARV-005,2025-12-22,2027-12-22,2026-02-12,6,"Congo, DRC",Air,ABBVIE (Abbott) Logis. UK,10,38.0,1573.41
BATCH-00172,HRDT-003,2025-04-22,2027-04-22,2025-06-03,6,Côte d'Ivoire,Air,Inverness Japan,1500,341.0,9749.73
BATCH-00173,ARV-005,2026-02-07,2028-02-07,2026-03-16,18,Ghana,Air,"Aurobindo Unit III, India",3393,901.0,7326.63
BATCH-00174,HRDT-002,2025-01-09,2027-01-09,2025-03-13,17,Guyana,Air,"Trinity Biotech, Plc",2220,732.0,6524.19
BATCH-00175,ARV-003,2025-12-16,2027-12-16,2026-02-21,23,Zimbabwe,Truck,"Strides, Bangalore, India.",92045,5103.0,11604.57
BATCH-00176,ARV-006,2025-07-24,2027-07-24,2025-10-03,12,Haiti,Air,"Aurobindo Unit III, India",5110,1840.0,14866.14
BATCH-00177,ARV-001,2026-02-23,2028-02-23,2026-04-27,50,Haiti,Ocean,"Aurobindo Unit VII, IN",39554,3823.0,11051.22
BATCH-00178,ARV-004,2025-01-22,2027-01-22,2025-02-26,7,Tanzania,Air,"Aurobindo Unit III, India",29489,2670.0,7533.0
BATCH-00179,ARV-007,2025-08-30,2027-08-30,2025-11-13,20,Côte d'Ivoire,Air,"Aurobindo Unit III, India",13860,662.0,3848.91
BATCH-00180,ARV-013,2025-03-07,2027-03-07,2025-04-22,13,Nigeria,Air,"Aurobindo Unit III, India",13380,925.0,9185.15
BATCH-00181,ARV-001,2026-01-01,2028-01-01,2026-03-18,20,Tanzania,Air,"Strides, Bangalore, India.",15041,949.0,4673.77
BATCH-00182,ARV-018,2026-02-14,2028-02-14,2026-02-26,7,Côte d'Ivoire,Air,"Aurobindo Unit III, India",9500,449.0,3051.95
BATCH-00183,ARV-001,2025-03-16,2027-03-16,2025-04-04,13,Tanzania,Air,"Aurobindo Unit III, India",18451,1636.0,6195.24
BATCH-00184,ARV-010,2025-12-30,2027-12-30,2026-04-07,50,Haiti,Ocean,Hetero Unit III Hyderabad IN,33936,14925.0,22100.46
BATCH-00185,ARV-002,2025-03-22,2027-03-22,2025-04-28,13,Nigeria,Air,"Aurobindo Unit III, India",2066,451.0,3487.94
